watch watching
gain gaining
write writing
change changing
buy buying
sell selling
learn learning
advance advancing
work working
finish finishing
have having
do doing
solve solving
repeat repeating
call calling
publish publishing
talk talking
chat chatting
prepare preparing
interview interviewing
answer answering
speak speaking
fix fixing
add adding
investigate investigating
send sending
check checking
make making
review reviewing
listen listening
study studying
eliminate eliminating
go going
fill filling
schedule scheduling
assist assisting
paint painting
re-paint re-painting
tell telling
meet meeting
clean cleaning
receive receiving
find searching
book booking
update updating
pack packing
configure configuring
create creating
participate participating
play playing
travel traveling
ask asking
run running
execute executing
deploy deploying
start starting
share sharing
move moving
commit committing
discuss discussing
jog jogging
organize organizing
catch-up catching-up
meet-up meeting-up
test testing
suggest suggesting
sort sorting
explain explaining
update updating
attend attending
compile compiling
process processing
register registering
conduct conducting
