watch watched
gain gained
write wrote
change changed
buy bought
sell sold
learn learned
advance advanced
work worked
finish finished
have had
do did
solve solved
understand understood
repeat repeated
call called
publish published
talk talked
chat chatted
prepare prepared
interview interviewed
answer answered
speak spoke
fix fixed
add added
investigate investigated
send sent
check checked
make made
review reviewed
listen listened
study studied
eliminate eliminated
go went
fill filled
schedule scheduled
assist assisted
paint painted
re-paint re-painted
tell told
meet met
clean cleaned
receive received
find found
book booked
update updated
pack packed
configure configured
create created
participate participated
play played
travel traveled
ask asked
run ran
execute executed
deploy deployed
start started
share shared
move moved
commit committed
discuss discussed
jog jogged
organize organized
catch-up caught-up
meet-up met-up
test tested
suggest suggested
sort sorted
explain explained
update updated
attend attended
compile compiled
process processed
register registered
conduct conducted
catch caught
eat_out ate_out
